# wavelength [nm]	QE (FM1)	QE 1sigma-error_if-used-for-FM2	sensitivity_[ppm/mK]
590.0	0.928601144	0.02625	0.434830563
591.0	0.928080747	0.02624	0.435667584
592.0	0.927560350	0.02622	0.436504606
593.0	0.927039953	0.02620	0.437341628
594.0	0.926519556	0.02619	0.438178650
595.0	0.925999159	0.02618	0.439015672
596.0	0.925478762	0.02616	0.439852694
597.0	0.924958364	0.02615	0.440689716
598.0	0.924437967	0.02613	0.441526738
599.0	0.923917570	0.02611	0.442363760
600.0	0.923397173	0.02610	0.443200782
601.0	0.922887360	0.02609	0.447422305
602.0	0.922377546	0.02607	0.451643829
603.0	0.921867733	0.02606	0.455865352
604.0	0.921357919	0.02604	0.460086875
605.0	0.920848106	0.02603	0.464308398
606.0	0.920338293	0.02601	0.468529922
607.0	0.919828479	0.02600	0.472751445
608.0	0.919318666	0.02598	0.476972968
609.0	0.918808852	0.02597	0.481194491
610.0	0.918299039	0.02595	0.485416014
611.0	0.917789226	0.02593	0.489637538
612.0	0.917279412	0.02592	0.493859061
613.0	0.916769599	0.02591	0.498080584
614.0	0.916259785	0.02589	0.502302108
615.0	0.915749972	0.02587	0.506523631
616.0	0.915240159	0.02586	0.510745154
617.0	0.914730345	0.02584	0.514966677
618.0	0.914220532	0.02583	0.519188200
619.0	0.913710718	0.02582	0.523409724
620.0	0.913200905	0.02580	0.527631247
621.0	0.912217963	0.02578	0.531387401
622.0	0.911235021	0.02575	0.535143555
623.0	0.910252079	0.02572	0.538899709
624.0	0.909269137	0.02570	0.542655864
625.0	0.908286195	0.02567	0.546412018
626.0	0.907303253	0.02565	0.550168172
627.0	0.906320311	0.02563	0.553924326
628.0	0.905337369	0.02560	0.557680480
629.0	0.904354427	0.02558	0.561436634
630.0	0.903371485	0.02555	0.565192788
631.0	0.902388544	0.02552	0.568948943
632.0	0.901405602	0.02550	0.572705097
633.0	0.900422660	0.02548	0.576461251
634.0	0.899439718	0.02545	0.580217405
635.0	0.898456776	0.02542	0.583973559
636.0	0.897473834	0.02540	0.587729713
637.0	0.896490892	0.02537	0.591485868
638.0	0.895507950	0.02535	0.595242022
639.0	0.894525008	0.02532	0.598998176
640.0	0.893542066	0.02530	0.602754330
641.0	0.892255333	0.02526	0.608145939
642.0	0.890968600	0.02522	0.613537548
643.0	0.889681868	0.02518	0.618929157
644.0	0.888395135	0.02514	0.624320766
645.0	0.887108402	0.02510	0.629712375
646.0	0.885821669	0.02506	0.635103984
647.0	0.884534937	0.02502	0.640495593
648.0	0.883248204	0.02498	0.645887202
649.0	0.881961471	0.02494	0.651278811
650.0	0.880674738	0.02490	0.656670421
651.0	0.879388006	0.02486	0.662062030
652.0	0.878101273	0.02482	0.667453639
653.0	0.876814540	0.02478	0.672845248
654.0	0.875527808	0.02474	0.678236857
655.0	0.874241075	0.02470	0.683628466
656.0	0.872954342	0.02466	0.689020075
657.0	0.871667609	0.02462	0.694411684
658.0	0.870380877	0.02458	0.699803293
659.0	0.869094144	0.02454	0.705194902
660.0	0.867807411	0.02450	0.710586511
661.0	0.866091630	0.02446	0.719014071
662.0	0.864375849	0.02441	0.727441631
663.0	0.862660069	0.02437	0.735869191
664.0	0.860944288	0.02432	0.744296751
665.0	0.859228507	0.02428	0.752724312
666.0	0.857512726	0.02423	0.761151872
667.0	0.855796945	0.02419	0.769579432
668.0	0.854081165	0.02414	0.778006992
669.0	0.852365384	0.02409	0.786434552
670.0	0.850649603	0.02405	0.794862112
671.0	0.848933822	0.02400	0.803289672
672.0	0.847218041	0.02396	0.811717232
673.0	0.845502261	0.02391	0.820144792
674.0	0.843786480	0.02387	0.828572352
675.0	0.842070699	0.02382	0.836999913
676.0	0.840354918	0.02378	0.845427473
677.0	0.838639137	0.02373	0.853855033
678.0	0.836923357	0.02369	0.862282593
679.0	0.835207576	0.02364	0.870710153
680.0	0.833491795	0.02360	0.879137713
681.0	0.831445777	0.02354	0.888770353
682.0	0.829399758	0.02348	0.898402992
683.0	0.827353740	0.02342	0.908035632
684.0	0.825307722	0.02336	0.917668271
685.0	0.823261703	0.02330	0.927300911
686.0	0.821215685	0.02324	0.936933551
687.0	0.819169667	0.02318	0.946566190
688.0	0.817123648	0.02312	0.956198830
689.0	0.815077630	0.02306	0.965831469
690.0	0.813031612	0.02300	0.975464109
691.0	0.810985593	0.02294	0.985096749
692.0	0.808939575	0.02288	0.994729388
693.0	0.806893556	0.02282	1.004362028
694.0	0.804847538	0.02276	1.013994667
695.0	0.802801520	0.02270	1.023627307
696.0	0.800755501	0.02264	1.033259947
697.0	0.798709483	0.02258	1.042892586
698.0	0.796663465	0.02252	1.052525226
699.0	0.794617446	0.02246	1.062157865
700.0	0.792571428	0.02240	1.071790505
701.0	0.790566403	0.02235	1.081378271
702.0	0.788561378	0.02229	1.090966037
703.0	0.786556353	0.02223	1.100553803
704.0	0.784551328	0.02218	1.110141569
705.0	0.782546303	0.02212	1.119729335
706.0	0.780541278	0.02207	1.129317101
707.0	0.778536253	0.02201	1.138904867
708.0	0.776531228	0.02196	1.148492633
709.0	0.774526203	0.02191	1.158080399
710.0	0.772521179	0.02185	1.167668164
711.0	0.770516154	0.02180	1.177255930
712.0	0.768511129	0.02174	1.186843696
713.0	0.766506104	0.02168	1.196431462
714.0	0.764501079	0.02163	1.206019228
715.0	0.762496054	0.02158	1.215606994
716.0	0.760491029	0.02152	1.225194760
717.0	0.758486004	0.02146	1.234782526
718.0	0.756480979	0.02141	1.244370292
719.0	0.754475954	0.02135	1.253958058
720.0	0.752470929	0.02130	1.263545824
721.0	0.750655884	0.02125	1.272707243
722.0	0.748840838	0.02120	1.281868662
723.0	0.747025793	0.02115	1.291030081
724.0	0.745210748	0.02110	1.300191501
725.0	0.743395702	0.02105	1.309352920
726.0	0.741580657	0.02100	1.318514339
727.0	0.739765612	0.02095	1.327675758
728.0	0.737950567	0.02090	1.336837177
729.0	0.736135521	0.02085	1.345998596
730.0	0.734320476	0.02080	1.355160016
731.0	0.732505431	0.02075	1.364321435
732.0	0.730690385	0.02070	1.373482854
733.0	0.728875340	0.02065	1.382644273
734.0	0.727060295	0.02060	1.391805692
735.0	0.725245250	0.02055	1.400967111
736.0	0.723430204	0.02050	1.410128530
737.0	0.721615159	0.02045	1.419289950
738.0	0.719800114	0.02040	1.428451369
739.0	0.717985068	0.02035	1.437612788
740.0	0.716170023	0.02030	1.446774207
741.0	0.713893950	0.02023	1.456472811
742.0	0.711617877	0.02017	1.466171415
743.0	0.709341805	0.02011	1.475870020
744.0	0.707065732	0.02004	1.485568624
745.0	0.704789659	0.01997	1.495267228
746.0	0.702513586	0.01991	1.504965832
747.0	0.700237513	0.01985	1.514664436
748.0	0.697961441	0.01978	1.524363041
749.0	0.695685368	0.01971	1.534061645
750.0	0.693409295	0.01965	1.543760249
751.0	0.691133222	0.01958	1.553458853
752.0	0.688857149	0.01952	1.563157457
753.0	0.686581077	0.01946	1.572856062
754.0	0.684305004	0.01939	1.582554666
755.0	0.682028931	0.01932	1.592253270
756.0	0.679752858	0.01926	1.601951874
757.0	0.677476785	0.01919	1.611650478
758.0	0.675200713	0.01913	1.621349083
759.0	0.672924640	0.01906	1.631047687
760.0	0.670648567	0.01900	1.640746291
761.0	0.668435404	0.01894	1.650430276
762.0	0.666222242	0.01887	1.660114261
763.0	0.664009079	0.01880	1.669798247
764.0	0.661795917	0.01874	1.679482232
765.0	0.659582754	0.01867	1.689166217
766.0	0.657369592	0.01861	1.698850202
767.0	0.655156429	0.01854	1.708534187
768.0	0.652943267	0.01848	1.718218173
769.0	0.650730105	0.01842	1.727902158
770.0	0.648516942	0.01835	1.737586143
771.0	0.646303779	0.01829	1.747270128
772.0	0.644090617	0.01822	1.756954113
773.0	0.641877454	0.01816	1.766638099
774.0	0.639664292	0.01809	1.776322084
775.0	0.637451130	0.01802	1.786006069
776.0	0.635237967	0.01796	1.795690054
777.0	0.633024804	0.01789	1.805374039
778.0	0.630811642	0.01783	1.815058025
779.0	0.628598480	0.01776	1.824742010
780.0	0.626385317	0.01770	1.834425995
781.0	0.623558567	0.01762	1.847025743
782.0	0.620731816	0.01754	1.859625491
783.0	0.617905066	0.01746	1.872225239
784.0	0.615078316	0.01738	1.884824986
785.0	0.612251565	0.01730	1.897424734
786.0	0.609424815	0.01722	1.910024482
787.0	0.606598065	0.01714	1.922624230
788.0	0.603771314	0.01706	1.935223978
789.0	0.600944564	0.01698	1.947823726
790.0	0.598117814	0.01690	1.960423474
791.0	0.595291063	0.01682	1.973023221
792.0	0.592464313	0.01674	1.985622969
793.0	0.589637562	0.01666	1.998222717
794.0	0.586810812	0.01658	2.010822465
795.0	0.583984062	0.01650	2.023422213
796.0	0.581157311	0.01642	2.036021961
797.0	0.578330561	0.01634	2.048621708
798.0	0.575503811	0.01626	2.061221456
799.0	0.572677060	0.01618	2.073821204
800.0	0.569850310	0.01610	2.086420952
801.0	0.567379690	0.01603	2.100242787
802.0	0.564909070	0.01596	2.114064622
803.0	0.562438450	0.01589	2.127886457
804.0	0.559967831	0.01582	2.141708292
805.0	0.557497211	0.01575	2.155530127
806.0	0.555026591	0.01568	2.169351962
807.0	0.552555971	0.01561	2.183173797
808.0	0.550085351	0.01554	2.196995632
809.0	0.547614731	0.01547	2.210817467
810.0	0.545144111	0.01540	2.224639302
811.0	0.542673492	0.01533	2.238461137
812.0	0.540202872	0.01526	2.252282972
813.0	0.537732252	0.01519	2.266104807
814.0	0.535261632	0.01512	2.279926642
815.0	0.532791012	0.01505	2.293748477
816.0	0.530320392	0.01498	2.307570312
817.0	0.527849773	0.01491	2.321392147
818.0	0.525379153	0.01484	2.335213982
819.0	0.522908533	0.01477	2.349035817
820.0	0.520437913	0.01470	2.362857652
821.0	0.517436513	0.01461	2.377504276
822.0	0.514435113	0.01453	2.392150899
823.0	0.511433714	0.01444	2.406797523
824.0	0.508432314	0.01436	2.421444147
825.0	0.505430914	0.01427	2.436090770
826.0	0.502429514	0.01419	2.450737394
827.0	0.499428114	0.01410	2.465384018
828.0	0.496426715	0.01402	2.480030642
829.0	0.493425315	0.01393	2.494677265
830.0	0.490423915	0.01385	2.509323889
831.0	0.487422515	0.01376	2.523970513
832.0	0.484421115	0.01368	2.538617136
833.0	0.481419716	0.01359	2.553263760
834.0	0.478418316	0.01351	2.567910384
835.0	0.475416916	0.01342	2.582557008
836.0	0.472415516	0.01334	2.597203631
837.0	0.469414116	0.01325	2.611850255
838.0	0.466412717	0.01317	2.626496879
839.0	0.463411317	0.01308	2.641143502
840.0	0.460409917	0.01300	2.655790126
841.0	0.457677316	0.01292	2.674225873
842.0	0.454944715	0.01285	2.692661620
843.0	0.452212114	0.01277	2.711097366
844.0	0.449479514	0.01270	2.729533113
845.0	0.446746913	0.01263	2.747968860
846.0	0.444014312	0.01255	2.766404607
847.0	0.441281711	0.01247	2.784840354
848.0	0.438549110	0.01240	2.803276100
